有效点有27个
k = 10
n = 1000
count = 351
          ((43, 16), (62, 31)), dis = 24.21
          ((69, 76), (32, 28)), dis = 60.61
          ((69, 76), (23, 60)), dis = 48.70
           ((69, 76), (8, 87)), dis = 61.98
          ((69, 76), (89, 26)), dis = 53.85
         ((69, 76), (100, 92)), dis = 34.89
          ((69, 76), (34, 80)), dis = 35.23
          ((69, 76), (35, 28)), dis = 58.82
           ((69, 76), (95, 4)), dis = 76.55
          ((69, 76), (37, 59)), dis = 36.24
           ((69, 76), (16, 3)), dis = 90.21
          ((69, 76), (36, 56)), dis = 38.59
          ((69, 76), (90, 45)), dis = 37.44
          ((69, 76), (43, 12)), dis = 69.08
          ((69, 76), (53, 47)), dis = 33.12
          ((90, 23), (32, 28)), dis = 58.22
          ((90, 23), (23, 60)), dis = 76.54
           ((90, 23), (8, 87)), dis = 104.02
          ((90, 23), (89, 26)), dis = 3.16
         ((90, 23), (100, 92)), dis = 69.72
          ((90, 23), (34, 80)), dis = 79.91
          ((90, 23), (35, 28)), dis = 55.23
           ((90, 23), (95, 4)), dis = 19.65
          ((90, 23), (37, 59)), dis = 64.07
           ((90, 23), (16, 3)), dis = 76.66
          ((90, 23), (36, 56)), dis = 63.29
          ((90, 23), (90, 45)), dis = 22.00
          ((90, 23), (43, 12)), dis = 48.27
          ((90, 23), (53, 47)), dis = 44.10
          ((32, 28), (23, 60)), dis = 33.24
           ((32, 28), (8, 87)), dis = 63.69
          ((32, 28), (89, 26)), dis = 57.04
         ((32, 28), (100, 92)), dis = 93.38
          ((32, 28), (34, 80)), dis = 52.04
          ((32, 28), (35, 28)), dis = 3.00
           ((32, 28), (95, 4)), dis = 67.42
          ((32, 28), (37, 59)), dis = 31.40
           ((32, 28), (16, 3)), dis = 29.68
          ((32, 28), (36, 56)), dis = 28.28
          ((32, 28), (90, 45)), dis = 60.44
          ((32, 28), (43, 12)), dis = 19.42
          ((32, 28), (53, 47)), dis = 28.32
           ((23, 60), (8, 87)), dis = 30.89
          ((23, 60), (89, 26)), dis = 74.24
         ((23, 60), (100, 92)), dis = 83.38
          ((23, 60), (34, 80)), dis = 22.83
          ((23, 60), (35, 28)), dis = 34.18
           ((23, 60), (95, 4)), dis = 91.21
          ((23, 60), (37, 59)), dis = 14.04
           ((23, 60), (16, 3)), dis = 57.43
          ((23, 60), (36, 56)), dis = 13.60
          ((23, 60), (90, 45)), dis = 68.66
          ((23, 60), (43, 12)), dis = 52.00
          ((23, 60), (53, 47)), dis = 32.70
           ((8, 87), (89, 26)), dis = 101.40
          ((8, 87), (100, 92)), dis = 92.14
           ((8, 87), (34, 80)), dis = 26.93
           ((8, 87), (35, 28)), dis = 64.88
            ((8, 87), (95, 4)), dis = 120.24
           ((8, 87), (37, 59)), dis = 40.31
            ((8, 87), (16, 3)), dis = 84.38
           ((8, 87), (36, 56)), dis = 41.77
           ((8, 87), (90, 45)), dis = 92.13
           ((8, 87), (43, 12)), dis = 82.76
           ((8, 87), (53, 47)), dis = 60.21
         ((89, 26), (100, 92)), dis = 66.91
          ((89, 26), (34, 80)), dis = 77.08
          ((89, 26), (35, 28)), dis = 54.04
           ((89, 26), (95, 4)), dis = 22.80
          ((89, 26), (37, 59)), dis = 61.59
           ((89, 26), (16, 3)), dis = 76.54
          ((89, 26), (36, 56)), dis = 60.90
          ((89, 26), (90, 45)), dis = 19.03
          ((89, 26), (43, 12)), dis = 48.08
          ((89, 26), (53, 47)), dis = 41.68
         ((100, 92), (34, 80)), dis = 67.08
         ((100, 92), (35, 28)), dis = 91.22
          ((100, 92), (95, 4)), dis = 88.14
         ((100, 92), (37, 59)), dis = 71.12
          ((100, 92), (16, 3)), dis = 122.38
         ((100, 92), (36, 56)), dis = 73.43
         ((100, 92), (90, 45)), dis = 48.05
         ((100, 92), (43, 12)), dis = 98.23
         ((100, 92), (53, 47)), dis = 65.07
          ((34, 80), (35, 28)), dis = 52.01
           ((34, 80), (95, 4)), dis = 97.45
          ((34, 80), (37, 59)), dis = 21.21
           ((34, 80), (16, 3)), dis = 79.08
          ((34, 80), (36, 56)), dis = 24.08
          ((34, 80), (90, 45)), dis = 66.04
          ((34, 80), (43, 12)), dis = 68.59
          ((34, 80), (53, 47)), dis = 38.08
           ((35, 28), (95, 4)), dis = 64.62
          ((35, 28), (37, 59)), dis = 31.06
           ((35, 28), (16, 3)), dis = 31.40
          ((35, 28), (36, 56)), dis = 28.02
          ((35, 28), (90, 45)), dis = 57.57
          ((35, 28), (43, 12)), dis = 17.89
          ((35, 28), (53, 47)), dis = 26.17
           ((95, 4), (37, 59)), dis = 79.93
            ((95, 4), (16, 3)), dis = 79.01
           ((95, 4), (36, 56)), dis = 78.64
           ((95, 4), (90, 45)), dis = 41.30
           ((95, 4), (43, 12)), dis = 52.61
           ((95, 4), (53, 47)), dis = 60.11
           ((37, 59), (16, 3)), dis = 59.81
          ((37, 59), (36, 56)), dis = 3.16
          ((37, 59), (90, 45)), dis = 54.82
          ((37, 59), (43, 12)), dis = 47.38
          ((37, 59), (53, 47)), dis = 20.00
           ((16, 3), (36, 56)), dis = 56.65
           ((16, 3), (90, 45)), dis = 85.09
           ((16, 3), (43, 12)), dis = 28.46
           ((16, 3), (53, 47)), dis = 57.49
          ((36, 56), (90, 45)), dis = 55.11
          ((36, 56), (43, 12)), dis = 44.55
          ((36, 56), (53, 47)), dis = 19.24
          ((90, 45), (43, 12)), dis = 57.43
          ((90, 45), (53, 47)), dis = 37.05
          ((43, 12), (53, 47)), dis = 36.40
